
2024/01/01 (01:27:48) | ===> btop++ v.1.2.13
2024/01/01 (01:27:48) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (01:29:11) | ===> btop++ v.1.2.13
2024/01/01 (01:29:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (02:02:40) | ===> btop++ v.1.2.13
2024/01/01 (02:02:40) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (02:04:09) | ===> btop++ v.1.2.13
2024/01/01 (02:04:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (02:05:57) | ===> btop++ v.1.2.13
2024/01/01 (02:05:57) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (02:06:16) | ===> btop++ v.1.2.13
2024/01/01 (02:06:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (02:06:54) | ===> btop++ v.1.2.13
2024/01/01 (02:06:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (02:07:18) | ===> btop++ v.1.2.13
2024/01/01 (02:07:18) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (02:07:25) | ===> btop++ v.1.2.13
2024/01/01 (02:07:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (02:07:48) | ===> btop++ v.1.2.13
2024/01/01 (02:07:48) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (02:08:14) | ===> btop++ v.1.2.13
2024/01/01 (02:08:14) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (02:10:59) | ===> btop++ v.1.2.13
2024/01/01 (02:10:59) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (02:11:14) | ===> btop++ v.1.2.13
2024/01/01 (02:11:14) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (12:05:27) | ===> btop++ v.1.2.13
2024/01/01 (12:05:27) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (17:43:17) | ===> btop++ v.1.2.13
2024/01/01 (17:43:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
